algo,cont_auc_best,cont_early_gain,cont_stagnation_frac,cont_div_mean,cont_div_decay,cont_step_mean,cont_step_decay,comb_auc_best,comb_early_gain,comb_stagnation_frac,comb_div_mean,comb_div_decay,comb_step_mean,comb_step_decay
BPSO,,,,,,,,0.0,0.0,1.0,0.40265794169577407,0.9999999999975141,17.781999999999996,0.999999999999941
DE,0.30756654748831846,0.0,0.15555555555555556,0.9296496711088683,0.3723723174976374,4.272431770039408,0.3858096948056371,,,,,,,
ES,0.0,0.0,1.0,1.6569754451943561,0.9999999999993623,6.372698123211723,0.9999999999998366,,,,,,,
GA_BIN,,,,,,,,0.0,0.0,1.0,0.19111624417985995,0.9999999999947148,4.897777777777777,0.9999999999997852
GWO,2.4619436092788853,0.0,0.28518518518518526,0.5869547888645424,0.3724703527621669,2.557603531495225,0.4024601967311726,,,,,,,
HC,,,,,,,,0.23680941180428705,0.0,0.47777777777777786,0.0,0.0,0.06388888888888888,0.0
PSO,0.2736179009010904,0.0,0.0037037037037037043,0.36342139226711784,0.22976163313455125,1.0595647537254904,0.16756155141930998,,,,,,,
SA,,,,,,,,0.029038900048100724,0.9220773034156114,0.8802721088435373,0.0,0.0,0.027397697938901216,0.0
WOA,0.3601893956882537,0.0,0.0,1.6469746540501957,0.42913721529467974,5.522892681886492,0.4407072073893769,,,,,,,
